Source Atom,Target Atom
Join,Move
Join,Rotate
Move,Join
Move,Move
Molecule,Join
Rotate,Join
Move,Join
Rotate,Move
Join,Output
Join,ExtractTag
Join,Molecule
Join,Molecule
Molecule,Join
Join,Move
Rotate,Move
Molecule,Rotate
Move,Join
Move,Join
Molecule,Join
ExtractTag,Export
Move,Join
Input,Molecule
Join,Join
Molecule,Rotate
Molecule,Export
Molecule,Export
Input,Molecule
Molecule,Rotate
Input,Molecule
Rotate,Move
Molecule,Move
Move,Join
Input,Molecule
Input,Molecule
Rotate,Join
Input,Molecule
Input,Molecule
Input,Move
Join,Color
Move,Rotate
Move,Rotate
Move,Join
Color,Output
Rotate,Join
GitHubMolecule,Move
GitHubMolecule,Move
GitHubMolecule,Move
GitHubMolecule,Move
Equation,Move
Constant,Move
Constant,Equation
Constant,Equation
Constant,Equation
Equation,Move
Move,Rotate
Equation,Move
Move,Rotate
Move,Rotate
Move,Rotate
Rotate,Join
Rotate,Join
Rotate,Join
Rotate,Join
Rectangle,Extrude
Extrude,Add BOM Tag
Add BOM Tag,Color
Color,Move
GitHubMolecule,Join
GitHubMolecule,Join
Join,Rotate
Rotate,Move
Molecule,Join
Molecule,Join
Molecule,Move
Molecule,Join
Molecule,Join
Move,Join
Molecule,Move
Move,Join
Rectangle,Extrude
Extrude,Color
Color,Add BOM Tag
GitHubMolecule,Rotate
GitHubMolecule,Rotate
Rotate,Move
Rotate,Move
Move,Join
Rotate,Join
Move,Join
Rectangle,Extrude
Extrude,Color
Color,Move
Move,Add BOM Tag
Rectangle,Extrude
Extrude,Move
Move,Color
Color,Add BOM Tag
Molecule,Join
Molecule,Join
Rectangle,Extrude
Molecule,Add BOM Tag
Molecule,Add BOM Tag
Molecule,Add BOM Tag
Molecule,Add BOM Tag
Add BOM Tag,Move
Add BOM Tag,Rotate
Add BOM Tag,Move
Add BOM Tag,Move
Add BOM Tag,Move
Add BOM Tag,Move
Add BOM Tag,Move
Rotate,Move
Move,Join
Move,Join
Move,Join
Move,Join
Move,Join
Move,Join
Move,Join
Rectangle,Extrude
Extrude,Add BOM Tag
Add BOM Tag,Move
Move,Join
Circle,Extrude
Extrude,Add BOM Tag
Add BOM Tag,Color
Color,Move
GitHubMolecule,Rotate
GitHubMolecule,Rotate
Rotate,Move
Rotate,Move
Move,Join
Molecule,Join
Move,Join
Molecule,Join
Molecule,Join
Molecule,Move
Molecule,Move
Molecule,Rotate
Molecule,Rotate
Constant,Equation
Constant,Move
Constant,Move
Rotate,Move
Rotate,Move
Rotate,Move
Equation,Move
Equation,Move
Move,Join
Move,Join
Move,Join
Move,Join
Move,Join
Join,Move
GitHubMolecule,Rotate
Rotate,Move
Circle,Extrude
GitHubMolecule,Join
GitHubMolecule,Move
Extrude,Move
GitHubMolecule,Rotate
Move,Color
Rotate,Move
Move,Join
Color,Join
Move,Join
Molecule,Move
Molecule,Move
Molecule,Move
Molecule,Move
Move,Join
Move,Join
Move,Join
Move,Join
Molecule,Join
Molecule,Move
Molecule,Join
Move,Join
Molecule,Join
Molecule,Join
Molecule,Join
Move,Join
Circle,Extrude
Circle,Extrude
Extrude,Move
Move,Join
Extrude,Move
Circle,Difference
Difference,Move
Difference,Move
Difference,Move
Difference,Move
Move,Join
Move,Join
Move,Join
Circle,Difference
Extrude,Move
Move,Join
Join,Extrude
Join,Extrude
Move,Join
Extrude,Join
Circle,Extrude
Extrude,Rotate
Circle,Extrude
Extrude,Move
Rotate,Move
Molecule,Join
Move,Join
Move,Color
Rectangle,Extrude
Color,Join
Extrude,Move
Join,Add BOM Tag
Move,Join
Molecule,Join
Circle,Extrude
Extrude,Difference
Difference,Rotate
Rotate,Move
Molecule,Difference
Move,Union
Union,Color
Molecule,Union
Color,Output
Constant,Rectangle
Constant,Equation
Input,Rectangle
Rectangle,Move
Input,Equation
Equation,Move
Input,Rectangle
Input,Molecule
Input,Rectangle
Input,Molecule
Input,Equation
Input,Extrude
Molecule,Join
Rectangle,Join
Equation,Move
Join,Difference
Circle,Move
Move,Difference
Difference,Extrude
Extrude,Add BOM Tag
Input,Equation
Input,Equation
Input,GitHubMolecule
Input,Rectangle
Input,Equation
Input,Equation
Input,GitHubMolecule
Input,Equation
Input,Equation
Equation,Move
Rectangle,Extrude
Extrude,Move
Equation,Move
Move,GitHubMolecule
GitHubMolecule,Rotate
Rotate,Move
Equation,Move
Equation,Move
Input,Equation
Input,Equation
Input,Rectangle
Input,Rectangle
Input,Equation
Input,Equation
Constant,Rectangle
Constant,Equation
Input,Equation
Rectangle,Extrude
Constant,Equation
Constant,Extrude
Constant,Equation
Input,Equation
Rectangle,Extrude
Equation,Move
Extrude,Join
Equation,Extrude
Equation,Equation
Extrude,Move
Equation,Move
Equation,Move
Move,Join
Join,Rotate
Equation,Move
Rotate,Move
Input,Equation
Input,Equation
Input,Rectangle
Input,Equation
Input,Rectangle
Input,Equation
Input,Equation
Equation,Move
Equation,Move
Rectangle,Extrude
Equation,Move
Extrude,Move
Input,Equation
Circle,Rotate
Rotate,Extrude
Equation,Move
Extrude,Move
Input,Equation
Input,GitHubMolecule
Input,Molecule
Input,Equation
Input,Equation
Input,GitHubMolecule
Constant,Equation
Input,Equation
Input,Equation
Input,GitHubMolecule
Equation,GitHubMolecule
Molecule,Difference
GitHubMolecule,Rotate
Equation,Move
Rotate,Move
Move,Difference
Input,Equation
Input,Molecule
Input,Molecule
Input,GitHubMolecule
Input,Molecule
Equation,Equation
Equation,Molecule
Equation,GitHubMolecule
Equation,Molecule
Input,Molecule
Input,Molecule
Input,GitHubMolecule
Input,Molecule
Input,Equation
Input,Molecule
Input,Molecule
Molecule,Join
Molecule,Join
Molecule,Join
Join,GitHubMolecule
GitHubMolecule,Rotate
Equation,Move
Equation,Move
Rotate,Move
Input,Equation
Input,Equation
Input,Extrude
Input,Equation
Input,Equation
Input,Rectangle
Input,Equation
Input,Rectangle
Rectangle,Extrude
Extrude,Move
Equation,Move
Equation,Move
Equation,Move
Input,GitHubMolecule
Input,Equation
Input,Equation
Input,Equation
Input,Molecule
Input,GitHubMolecule
Input,GitHubMolecule
Input,Rectangle
Input,Equation
Input,Equation
Input,Rectangle
Input,Equation
Input,Molecule
Input,GitHubMolecule
Constant,GitHubMolecule
Constant,Extrude
Constant,Equation
Input,Equation
Equation,Extrude
Input,Equation
Input,Equation
Input,Equation
Rectangle,Extrude
Rectangle,Extrude
Molecule,Join
Equation,Move
Equation,Move
Equation,Move
Extrude,Move
Extrude,Move
Equation,Move
Move,Join
Move,Join
Join,GitHubMolecule
Equation,Move
GitHubMolecule,Rotate
Equation,Move
Rotate,Move
Input,Equation
Input,GitHubMolecule
Input,GitHubMolecule
Input,GitHubMolecule
Input,GitHubMolecule
Equation,Move
GitHubMolecule,Rotate
Rotate,Move
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Molecule,Join
Molecule,Join
Molecule,Join
Molecule,Join
Input,Equation
Input,Equation
Input,Equation
Input,Equation
GitHubMolecule,Move
Equation,Move
Equation,Move
Input,Equation
Input,Equation
Input,Equation
Input,Equation
Equation,GitHubMolecule
Equation,Equation
GitHubMolecule,Rotate
Equation,Move
Rotate,Move
Equation,Move
Input,Extrude
Input,Circle
Input,Equation
Input,Equation
Equation,Circle
Circle,Difference
Circle,Difference
Difference,Extrude
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Equation
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Equation
Constant,Molecule
Constant,Equation
Molecule,Tag
Molecule,Tag
Molecule,Join
Molecule,Join
Equation,Move
Molecule,Tag
Tag,Join
Tag,Join
Join,Move
Tag,Join
Move,Join
ExtractTag,GitHubMolecule
Join,ExtractTag
GitHubMolecule,Svg
RegularPolygon,Difference
Extrude,Add BOM Tag
Difference,Extrude
Circle,Difference
Circle,Difference
Circle,Difference
Difference,Extrude
Input,Extrude
GitHubMolecule,Rotate
GitHubMolecule,Rotate
Rotate,Move
Input,Move
Input,Move
Rotate,Move
Move,Join
Move,Join
Constant,Molecule
Constant,Molecule
Molecule,Join
Molecule,Join
Circle,Difference
Circle,Difference
Difference,Extrude
Extrude,Add BOM Tag
Add BOM Tag,Color
Input,Extrude
Color,Join
Circle,Color
Extrude,Rotate
Join,Extrude
Rotate,Rotate
Rotate,Move
Molecule,Join
Move,Join
Rotate,Move
Join,Molecule
Input,Rotate
Move,Join
Circle,Color
Color,Extrude
Extrude,Move
Move,Join
Molecule,Add BOM Tag
Rectangle,Extrude
Constant,GitHubMolecule
Constant,Rectangle
Constant,Move
Constant,Extrude
Rectangle,Extrude
GitHubMolecule,Rotate
Extrude,Tag
Extrude,Tag
Rotate,Move
Tag,Join
Tag,Join
Move,Join
Join,CutLayout
Molecule,Color
Molecule,Union
Molecule,Union
Molecule,Union
Molecule,GitHubMolecule
Input,GitHubMolecule
GitHubMolecule,Output
Rectangle,Difference
Difference,Extrude
Extrude,Color
Color,Output
Circle,Difference
Molecule,Molecule
Molecule,Group
Group,Join
ExtractTag,Stl
Join,ExtractTag
Join,Group
Join,ExtractTag
Join,Join
Group,Join
ExtractTag,Group
Move,Join
Move,Group
Molecule,Move
Join,ExtractTag
Join,Join
Molecule,Move
Circle,Output
Move,Join
ExtractTag,Stl
ExtractTag,Group
Rotate,Move
Molecule,Rotate
Molecule,Rotate
Move,Join
Join,ExtractTag
Join,Output
ExtractTag,Stl
Molecule,Join
Move,Join
Rotate,Move
Molecule,Join
Join,ExtractTag
ExtractTag,Stl
Circle,Extrude
Circle,Extrude
Extrude,Join
Extrude,Join
Join,Output
Molecule,Join
Join,Molecule
Join,Molecule
Join,ExtractTag
Join,ExtractTag
Join,ExtractTag
Join,Molecule
Molecule,Join
ExtractTag,Svg
ExtractTag,Stl
Molecule,Join
ExtractTag,Stl
Molecule,Svg
Circle,Move
Move,ShrinkWrap
Circle,ShrinkWrap
ShrinkWrap,Join
Rectangle,Extrude
Extrude,Join
Join,Add BOM Tag
Circle,Extrude
Extrude,Join
Molecule,Union
Molecule,Group
Molecule,ExtractTag
Union,Join
Molecule,Union
ExtractTag,Join
Molecule,Union
Join,Group
Join,ExtractTag
Join,Molecule
Union,Join
Molecule,Molecule
Molecule,Union
Circle,Output
ExtractTag,Stl
Input,Extrude
Color,Join
Circle,Color
Extrude,Rotate
Join,Extrude
Rotate,Rotate
Rotate,Move
Molecule,Join
Move,Join
Rotate,Move
Join,Molecule
Input,Rotate
Move,Join
Circle,Color
Color,Extrude
Extrude,Move
Move,Join
Molecule,Add BOM Tag
Input,Equation
Equation,Move
Input,Equation
Equation,Rectangle
Rectangle,Move
Circle,Move
Circle,Move
Move,ShrinkWrap
Equation,Move
Move,ShrinkWrap
ShrinkWrap,Move
Input,Rectangle
Input,Equation
Input,Equation
Input,Molecule
Input,Molecule
Input,Rectangle
Input,Equation
Input,Molecule
Input,Equation
Input,Extrude
Input,Molecule
Equation,Rectangle
Equation,Move
Equation,Move
Rectangle,Join
Molecule,Join
Molecule,Difference
Rectangle,Move
Rectangle,Move
Move,Join
Move,Join
Join,Difference
Difference,Extrude
Extrude,Tag
Input,Molecule
Input,Equation
Input,Equation
Input,Molecule
Input,Equation
Input,Equation
Input,Equation
Input,Equation
Input,Equation
Molecule,Rotate
Equation,Molecule
Equation,Move
Equation,Move
Equation,Move
Equation,Move
Rotate,Move
Rotate,Move
Move,Join
Move,Join
Input,Extrude
Input,Equation
Input,Rectangle
Input,Rectangle
Input,Equation
Input,Equation
Rectangle,Extrude
Extrude,Rotate
Equation,Move
Rotate,Tag
Equation,Move
Tag,Move
Tag,Move
Move,Join
Move,Join
Input,Rectangle
Input,Equation
Input,Equation
Input,Rectangle
Input,Equation
Input,Equation
Input,Extrude
Equation,Rectangle
Equation,Move
Equation,Move
Rectangle,Join
Rectangle,Move
Rectangle,Move
Rectangle,Join
Move,Join
Move,Join
Join,Extrude
Extrude,Tag
Input,Molecule
Input,Molecule
Input,Molecule
Input,Equation
Input,Equation
Molecule,Move
Molecule,Move
Input,Equation
Equation,Move
Equation,Move
Move,Join
Move,Join
Input,Molecule
Input,Molecule
Input,Molecule
Input,Equation
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Input,Molecule
Molecule,Join
Molecule,Move
Input,Molecule
Input,Molecule
Molecule,Join
Molecule,Difference
Molecule,Join
Move,Difference
Join,CutLayout
Join,Move
Equation,Move
CutLayout,OverCutCorners
OverCutCorners,Svg
Input,Equation
Equation,Circle
Circle,Extrude
Equation,Move
Extrude,Difference
Move,Difference
Input,Equation
Extrude,Move
Rectangle,Extrude
Difference,Output
Molecule,Join
Join,Output
Join,Rotate
Constant,Molecule
Rotate,ExtractTag
Move,Join
ExtractTag,Code
Molecule,Move
Code,Equation
Equation,GeneticAlgorithm
Circle,Output
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Constant,Molecule
Molecule,Join
Molecule,Join
Molecule,Join
Join,Output
Input,Equation
Circle,Move
Circle,Move
Equation,Move
Rectangle,Move
Move,Join
Move,Join
Move,Join
Join,Extrude
Extrude,Move
Move,Color
RegularPolygon,Extrude
Extrude,Add BOM Tag
Circle,Difference
Circle,Join
Rectangle,Move
Move,Join
Join,Difference
Difference,Extrude
Extrude,Rotate
Rotate,Move
Circle,Extrude
Rectangle,Extrude
Circle,Extrude
Extrude,Join
Extrude,Join
Extrude,Join
Join,Move
Move,Add BOM Tag
Input,Equation
Input,Molecule
Equation,Move
Equation,Equation
Molecule,Rotate
Molecule,Rotate
Molecule,Rotate
Molecule,Join
Rotate,Move
Equation,Move
Rotate,Move
Move,Join
Move,Join
Molecule,Join
Rotate,Join
Extrude,Join
Circle,Extrude
Extrude,Join
Join,Add BOM Tag
Circle,Extrude
Extrude,Union
Circle,Extrude
Extrude,Union
Union,Difference
Circle,Extrude
Rotate,Group
Difference,Add-BOM-Tag
Add-BOM-Tag,Color
Group,Difference
Move,Rotate
Move,Rotate
Move,Group
Extrude,Move
Circle,Extrude
Color,Output
Rotate,Group
RegularPolygon,Extrude
Extrude,Color
Color,Add-BOM-Tag
Add-BOM-Tag,Output
Molecule,Move
Molecule,Join
Move,Join
Join,Output
Join,ExtractTag
Molecule,Join
ExtractTag,Stl
GitHubMolecule,Difference
Molecule,Molecule
Molecule,Molecule
Extrude,Stl
Difference,Extrude
Molecule,Output
Molecule,Molecule
Molecule,Stl
Circle,Difference
Molecule,Output
Molecule,Stl
Molecule,Stl
Rectangle,Extrude
Circle,Extrude
Extrude,Rotate
Rotate,Move
Extrude,Difference
Move,Difference
Difference,Color
Rectangle,Extrude
Extrude,Color
Color,Move
Color,Move
Move,Join
Move,Join
Molecule,Join
Molecule,Join
Join,Add BOM Tag
Circle,Join
Rectangle,Move
Move,Join
GitHubMolecule,Join
Circle,Extrude
Extrude,Color
Color,Join
GitHubMolecule,GitHubMolecule
Molecule,Difference
GitHubMolecule,Difference
Difference,Extrude
Extrude,Add BOM Tag
Molecule,Move
Add BOM Tag,Tag
Move,Join
Tag,Join
Molecule,Move
Join,ExtractTag
ExtractTag,Stl
Move,Join
Molecule,Join
Join,Tag
Input,Molecule
Input,Molecule
Molecule,Join
Tag,Join
Join,ExtractTag
Rectangle,Output
GitHubMolecule,Join
ExtractTag,Stl
Molecule,Color
Circle,Extrude
Circle,Extrude
Color,Move
Extrude,Color
Color,Difference
Extrude,Color
Move,Union
Rectangle,Extrude
Extrude,Move
Color,Union
Move,Difference
Difference,Union
Union,Output
Circle,Difference
Circle,Difference
Difference,Extrude
Extrude,Add BOM Tag
Molecule,Union
Union,Output
Molecule,Union
Move,Join
Rectangle,Move
Join,Difference
